,TTM Net EPS,Ticker
2023-02-11,$8.03,TROW
2023-02-12,$8.03,TROW
2023-02-13,$8.03,TROW
2023-02-14,$8.03,TROW
2023-02-15,$8.03,TROW
2023-02-16,$8.03,TROW
2023-02-17,$8.03,TROW
2023-02-18,$8.03,TROW
2023-02-19,$8.03,TROW
2023-02-20,$8.03,TROW
2023-02-21,$8.03,TROW
2023-02-22,$8.03,TROW
2023-02-23,$8.03,TROW
2023-02-24,$8.03,TROW
2023-02-25,$8.03,TROW
2023-02-26,$8.03,TROW
2023-02-27,$8.03,TROW
2023-02-28,$8.03,TROW
2023-03-01,$8.03,TROW
2023-03-02,$8.03,TROW
2023-03-03,$8.03,TROW
2023-03-04,$8.03,TROW
2023-03-05,$8.03,TROW
2023-03-06,$8.03,TROW
2023-03-07,$8.03,TROW
2023-03-08,$8.03,TROW
2023-03-09,$8.03,TROW
2023-03-10,$8.03,TROW
2023-03-11,$8.03,TROW
2023-03-12,$8.03,TROW
2023-03-13,$8.03,TROW
2023-03-14,$8.03,TROW
2023-03-15,$8.03,TROW
2022-12-31,$3.54,TTWO
2023-01-01,$3.54,TTWO
2023-01-02,$3.54,TTWO
2023-01-03,$3.54,TTWO
2023-01-04,$3.54,TTWO
2023-01-05,$3.54,TTWO
2023-01-06,$3.54,TTWO
2023-01-07,$3.54,TTWO
2023-01-08,$3.54,TTWO
2023-01-09,$3.54,TTWO
2023-01-10,$3.54,TTWO
2023-01-11,$3.54,TTWO
2023-01-12,$3.54,TTWO
2023-01-13,$3.54,TTWO
2023-01-14,$3.54,TTWO
2023-01-15,$3.54,TTWO
2023-01-16,$3.54,TTWO
2023-01-17,$3.54,TTWO
2023-01-18,$3.54,TTWO
2023-01-19,$3.54,TTWO
2023-01-20,$3.54,TTWO
2023-01-21,$3.54,TTWO
2023-01-22,$3.54,TTWO
2023-01-23,$3.54,TTWO
2023-01-24,$3.54,TTWO
2023-01-25,$3.54,TTWO
2023-01-26,$3.54,TTWO
2023-01-27,$3.54,TTWO
2023-01-28,$3.54,TTWO
2023-01-29,$3.54,TTWO
2023-01-30,$3.54,TTWO
2023-01-31,$3.54,TTWO
2023-02-01,$3.54,TTWO
2023-02-02,$3.54,TTWO
2023-02-03,$3.54,TTWO
2023-02-04,$3.54,TTWO
2023-02-05,$3.54,TTWO
2023-02-06,$3.54,TTWO
2023-02-07,$3.54,TTWO
2023-02-08,$3.54,TTWO
2023-02-09,$3.54,TTWO
2023-02-10,$3.54,TTWO
2023-02-11,$3.54,TTWO
2023-02-12,$3.54,TTWO
2023-02-13,$3.54,TTWO
2023-02-14,$3.54,TTWO
2023-02-15,$3.54,TTWO
2023-02-16,$3.54,TTWO
2023-02-17,$3.54,TTWO
2023-02-18,$3.54,TTWO
2023-02-19,$3.54,TTWO
2023-02-20,$3.54,TTWO
2023-02-21,$3.54,TTWO
2023-02-22,$3.54,TTWO
2023-02-23,$3.54,TTWO
2023-02-24,$3.54,TTWO
2023-02-25,$3.54,TTWO
2023-02-26,$3.54,TTWO
2023-02-27,$3.54,TTWO
2023-02-28,$3.54,TTWO
2023-03-01,$3.54,TTWO
2023-03-02,$3.54,TTWO
2023-03-03,$3.54,TTWO
2023-03-04,$3.54,TTWO
2023-03-05,$3.54,TTWO
2023-03-06,$3.54,TTWO
2023-03-07,$3.54,TTWO
2023-03-08,$3.54,TTWO
2023-03-09,$3.54,TTWO
2023-03-10,$3.54,TTWO
2023-03-11,$3.54,TTWO
2023-03-12,$3.54,TTWO
